"CIRCOSCRIZIONE";"COLLPLURINOM";"LISTA";"TOTVOTI";"SEGGILISTA"
"CALABRIA";"CALABRIA - 01";"LIBERI E UGUALI";12362,00;
"CALABRIA";"CALABRIA - 01";"POTERE AL POPOLO!";5427,00;
"CALABRIA";"CALABRIA - 01";"CASAPOUND ITALIA";2331,00;
"CALABRIA";"CALABRIA - 01";"IL POPOLO DELLA FAMIGLIA";2160,00;
"CALABRIA";"CALABRIA - 01";"ITALIA AGLI ITALIANI";3120,00;
"CALABRIA";"CALABRIA - 01";"PARTITO COMUNISTA";2166,00;
"CALABRIA";"CALABRIA - 01";"PARTITO VALORE UMANO";1902,00;
"CALABRIA";"CALABRIA - 01";"PER UNA SINISTRA RIVOLUZIONARIA";783,00;
"CALABRIA";"CALABRIA - 01";"LISTA DEL POPOLO PER LA COSTITUZIONE";615,00;
"CALABRIA";"CALABRIA - 02";"LEGA";28993,00;
"CALABRIA";"CALABRIA - 02";"FORZA ITALIA";108566,00;2,00
"CALABRIA";"CALABRIA - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";24105,00;
"CALABRIA";"CALABRIA - 02";"NOI CON L'ITALIA - UDC";10694,00;
"CALABRIA";"CALABRIA - 02";"MOVIMENTO 5 STELLE";176592,00;3,00
"CALABRIA";"CALABRIA - 02";"PARTITO DEMOCRATICO";73787,00;1,00
"CALABRIA";"CALABRIA - 02";"+EUROPA";5224,00;
"CALABRIA";"CALABRIA - 02";"ITALIA EUROPA INSIEME";5119,00;
"CALABRIA";"CALABRIA - 02";"CIVICA POPOLARE LORENZIN";4492,00;
"CALABRIA";"CALABRIA - 02";"LIBERI E UGUALI";14360,00;1,00
"CALABRIA";"CALABRIA - 02";"POTERE AL POPOLO!";4774,00;
"CALABRIA";"CALABRIA - 02";"CASAPOUND ITALIA";4772,00;
"CALABRIA";"CALABRIA - 02";"IL POPOLO DELLA FAMIGLIA";3771,00;
"CALABRIA";"CALABRIA - 02";"ITALIA AGLI ITALIANI";3473,00;
"CALABRIA";"CALABRIA - 02";"PARTITO COMUNISTA";2338,00;
"CALABRIA";"CALABRIA - 02";"PARTITO VALORE UMANO";2923,00;
"CALABRIA";"CALABRIA - 02";"PER UNA SINISTRA RIVOLUZIONARIA";725,00;
"CALABRIA";"CALABRIA - 02";"LISTA DEL POPOLO PER LA COSTITUZIONE";806,00;
"SICILIA 1";"SICILIA 1 - 01";"LEGA";15292,00;
"SICILIA 1";"SICILIA 1 - 01";"FORZA ITALIA";69326,00;1,00
"SICILIA 1";"SICILIA 1 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";9357,00;
"SICILIA 1";"SICILIA 1 - 01";"NOI CON L'ITALIA - UDC";6067,00;
"SICILIA 1";"SICILIA 1 - 01";"MOVIMENTO 5 STELLE";148219,00;2,00
"SICILIA 1";"SICILIA 1 - 01";"PARTITO DEMOCRATICO";39338,00;
"SICILIA 1";"SICILIA 1 - 01";"+EUROPA";6674,00;
"SICILIA 1";"SICILIA 1 - 01";"ITALIA EUROPA INSIEME";1124,00;
"SICILIA 1";"SICILIA 1 - 01";"CIVICA POPOLARE LORENZIN";740,00;
"SICILIA 1";"SICILIA 1 - 01";"LIBERI E UGUALI";14677,00;1,00
"SICILIA 1";"SICILIA 1 - 01";"POTERE AL POPOLO!";3423,00;
"SICILIA 1";"SICILIA 1 - 01";"CASAPOUND ITALIA";994,00;
"SICILIA 1";"SICILIA 1 - 01";"IL POPOLO DELLA FAMIGLIA";3900,00;
"SICILIA 1";"SICILIA 1 - 01";"ITALIA AGLI ITALIANI";1073,00;
"SICILIA 1";"SICILIA 1 - 01";"PARTITO COMUNISTA";870,00;
"SICILIA 1";"SICILIA 1 - 01";"LISTA DEL POPOLO PER LA COSTITUZIONE";497,00;
"SICILIA 1";"SICILIA 1 - 02";"LEGA";21618,00;
"SICILIA 1";"SICILIA 1 - 02";"FORZA ITALIA";97718,00;1,00
"SICILIA 1";"SICILIA 1 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";16070,00;
"SICILIA 1";"SICILIA 1 - 02";"NOI CON L'ITALIA - UDC";16164,00;
"SICILIA 1";"SICILIA 1 - 02";"MOVIMENTO 5 STELLE";203127,00;3,00
"SICILIA 1";"SICILIA 1 - 02";"PARTITO DEMOCRATICO";42704,00;1,00
"SICILIA 1";"SICILIA 1 - 02";"+EUROPA";4160,00;
"SICILIA 1";"SICILIA 1 - 02";"ITALIA EUROPA INSIEME";1964,00;
"SICILIA 1";"SICILIA 1 - 02";"CIVICA POPOLARE LORENZIN";881,00;
"SICILIA 1";"SICILIA 1 - 02";"LIBERI E UGUALI";10997,00;
"SICILIA 1";"SICILIA 1 - 02";"POTERE AL POPOLO!";2302,00;
"SICILIA 1";"SICILIA 1 - 02";"CASAPOUND ITALIA";1604,00;
"SICILIA 1";"SICILIA 1 - 02";"IL POPOLO DELLA FAMIGLIA";5733,00;
"SICILIA 1";"SICILIA 1 - 02";"ITALIA AGLI ITALIANI";1921,00;
"SICILIA 1";"SICILIA 1 - 02";"PARTITO COMUNISTA";1037,00;
"SICILIA 1";"SICILIA 1 - 02";"LISTA DEL POPOLO PER LA COSTITUZIONE";180,00;
"SICILIA 1";"SICILIA 1 - 03";"LEGA";21105,00;1,00
"SICILIA 1";"SICILIA 1 - 03";"FORZA ITALIA";69629,00;1,00
"SICILIA 1";"SICILIA 1 - 03";"FRATELLI D'ITALIA CON GIORGIA MELONI";14584,00;1,00
"SICILIA 1";"SICILIA 1 - 03";"NOI CON L'ITALIA - UDC";11066,00;
"SICILIA 1";"SICILIA 1 - 03";"MOVIMENTO 5 STELLE";187507,00;3,00
"SICILIA 1";"SICILIA 1 - 03";"PARTITO DEMOCRATICO";36419,00;1,00
"SICILIA 1";"SICILIA 1 - 03";"+EUROPA";2829,00;
"SICILIA 1";"SICILIA 1 - 03";"ITALIA EUROPA INSIEME";2264,00;
"SICILIA 1";"SICILIA 1 - 03";"CIVICA POPOLARE LORENZIN";3101,00;
"SICILIA 1";"SICILIA 1 - 03";"LIBERI E UGUALI";9612,00;
"SICILIA 1";"SICILIA 1 - 03";"POTERE AL POPOLO!";2670,00;
"SICILIA 1";"SICILIA 1 - 03";"CASAPOUND ITALIA";1468,00;
"SICILIA 1";"SICILIA 1 - 03";"IL POPOLO DELLA FAMIGLIA";4515,00;
"SICILIA 1";"SICILIA 1 - 03";"ITALIA AGLI ITALIANI";1895,00;
"SICILIA 1";"SICILIA 1 - 03";"LISTA DEL POPOLO PER LA COSTITUZIONE";669,00;
"SICILIA 2";"SICILIA 2 - 01";"LEGA";21967,00;1,00
"SICILIA 2";"SICILIA 2 - 01";"FORZA ITALIA";84171,00;1,00
"SICILIA 2";"SICILIA 2 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";14886,00;1,00
"SICILIA 2";"SICILIA 2 - 01";"NOI CON L'ITALIA - UDC";4925,00;
"SICILIA 2";"SICILIA 2 - 01";"MOVIMENTO 5 STELLE";180571,00;2,00
"SICILIA 2";"SICILIA 2 - 01";"PARTITO DEMOCRATICO";60838,00;1,00
"SICILIA 2";"SICILIA 2 - 01";"+EUROPA";4761,00;
"SICILIA 2";"SICILIA 2 - 01";"ITALIA EUROPA INSIEME";2073,00;
"SICILIA 2";"SICILIA 2 - 01";"CIVICA POPOLARE LORENZIN";5101,00;
"SICILIA 2";"SICILIA 2 - 01";"LIBERI E UGUALI";12424,00;1,00
"SICILIA 2";"SICILIA 2 - 01";"POTERE AL POPOLO!";2540,00;
"SICILIA 2";"SICILIA 2 - 01";"CASAPOUND ITALIA";2419,00;
"SICILIA 2";"SICILIA 2 - 01";"IL POPOLO DELLA FAMIGLIA";2988,00;
"SICILIA 2";"SICILIA 2 - 01";"ITALIA AGLI ITALIANI";1612,00;
"SICILIA 2";"SICILIA 2 - 01";"PARTITO COMUNISTA";1233,00;
"SICILIA 2";"SICILIA 2 - 01";"PARTITO VALORE UMANO";197,00;
"SICILIA 2";"SICILIA 2 - 01";"LISTA DEL POPOLO PER LA COSTITUZIONE";269,00;
"SICILIA 2";"SICILIA 2 - 02";"LEGA";20954,00;
"SICILIA 2";"SICILIA 2 - 02";"FORZA ITALIA";93348,00;1,00
"SICILIA 2";"SICILIA 2 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";18519,00;
"SICILIA 2";"SICILIA 2 - 02";"NOI CON L'ITALIA - UDC";6638,00;
"SICILIA 2";"SICILIA 2 - 02";"MOVIMENTO 5 STELLE";207244,00;2,00
"SICILIA 2";"SICILIA 2 - 02";"PARTITO DEMOCRATICO";46707,00;
"SICILIA 2";"SICILIA 2 - 02";"+EUROPA";4819,00;
"SICILIA 2";"SICILIA 2 - 02";"ITALIA EUROPA INSIEME";1376,00;
"SICILIA 2";"SICILIA 2 - 02";"CIVICA POPOLARE LORENZIN";1217,00;
"SICILIA 2";"SICILIA 2 - 02";"LIBERI E UGUALI";9976,00;
"SICILIA 2";"SICILIA 2 - 02";"POTERE AL POPOLO!";3549,00;
"SICILIA 2";"SICILIA 2 - 02";"CASAPOUND ITALIA";2967,00;
"SICILIA 2";"SICILIA 2 - 02";"IL POPOLO DELLA FAMIGLIA";3169,00;
"SICILIA 2";"SICILIA 2 - 02";"ITALIA AGLI ITALIANI";1785,00;
"SICILIA 2";"SICILIA 2 - 02";"PARTITO COMUNISTA";1298,00;
"SICILIA 2";"SICILIA 2 - 02";"PARTITO VALORE UMANO";621,00;
"SICILIA 2";"SICILIA 2 - 02";"LISTA DEL POPOLO PER LA COSTITUZIONE";623,00;
"SICILIA 2";"SICILIA 2 - 03";"LEGA";22975,00;
"SICILIA 2";"SICILIA 2 - 03";"FORZA ITALIA";86070,00;1,00
"SICILIA 2";"SICILIA 2 - 03";"FRATELLI D'ITALIA CON GIORGIA MELONI";14940,00;
"SICILIA 2";"SICILIA 2 - 03";"NOI CON L'ITALIA - UDC";11309,00;
"SICILIA 2";"SICILIA 2 - 03";"MOVIMENTO 5 STELLE";254689,00;2,00
"SICILIA 2";"SICILIA 2 - 03";"PARTITO DEMOCRATICO";53267,00;1,00
"SICILIA 2";"SICILIA 2 - 03";"+EUROPA";4599,00;
"SICILIA 2";"SICILIA 2 - 03";"ITALIA EUROPA INSIEME";1603,00;
"SICILIA 2";"SICILIA 2 - 03";"CIVICA POPOLARE LORENZIN";1968,00;
"SICILIA 2";"SICILIA 2 - 03";"LIBERI E UGUALI";11818,00;
"SICILIA 2";"SICILIA 2 - 03";"POTERE AL POPOLO!";2608,00;
"SICILIA 2";"SICILIA 2 - 03";"CASAPOUND ITALIA";2515,00;
"SICILIA 2";"SICILIA 2 - 03";"IL POPOLO DELLA FAMIGLIA";3864,00;
"SICILIA 2";"SICILIA 2 - 03";"ITALIA AGLI ITALIANI";1505,00;
"SICILIA 2";"SICILIA 2 - 03";"PARTITO COMUNISTA";1377,00;
"SICILIA 2";"SICILIA 2 - 03";"PARTITO VALORE UMANO";806,00;
"SICILIA 2";"SICILIA 2 - 03";"LISTA DEL POPOLO PER LA COSTITUZIONE";480,00;
"SARDEGNA";"SARDEGNA - 01";"LEGA";54217,00;1,00
"SARDEGNA";"SARDEGNA - 01";"FORZA ITALIA";69170,00;1,00
"SARDEGNA";"SARDEGNA - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";20603,00;1,00
"SARDEGNA";"SARDEGNA - 01";"NOI CON L'ITALIA - UDC";8117,00;
"SARDEGNA";"SARDEGNA - 01";"MOVIMENTO 5 STELLE";203435,00;3,00
"SARDEGNA";"SARDEGNA - 01";"PARTITO DEMOCRATICO";67677,00;1,00
"SARDEGNA";"SARDEGNA - 01";"+EUROPA";10299,00;
"SARDEGNA";"SARDEGNA - 01";"ITALIA EUROPA INSIEME";2513,00;
"SARDEGNA";"SARDEGNA - 01";"CIVICA POPOLARE LORENZIN";1799,00;
"SARDEGNA";"SARDEGNA - 01";"LIBERI E UGUALI";16027,00;
"SARDEGNA";"SARDEGNA - 01";"POTERE AL POPOLO!";4825,00;
"SARDEGNA";"SARDEGNA - 01";"CASAPOUND ITALIA";4219,00;
"SARDEGNA";"SARDEGNA - 01";"IL POPOLO DELLA FAMIGLIA";3596,00;
"SARDEGNA";"SARDEGNA - 01";"PARTITO COMUNISTA";2964,00;
"SARDEGNA";"SARDEGNA - 01";"PARTITO VALORE UMANO";1937,00;
"SARDEGNA";"SARDEGNA - 01";"AUTODETERMINATZIONE";9383,00;
"SARDEGNA";"SARDEGNA - 02";"LEGA";39554,00;
"SARDEGNA";"SARDEGNA - 02";"FORZA ITALIA";59333,00;1,00
"SARDEGNA";"SARDEGNA - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";14360,00;
"SARDEGNA";"SARDEGNA - 02";"NOI CON L'ITALIA - UDC";4467,00;
"SARDEGNA";"SARDEGNA - 02";"MOVIMENTO 5 STELLE";165761,00;2,00
"SARDEGNA";"SARDEGNA - 02";"PARTITO DEMOCRATICO";61207,00;1,00
"SARDEGNA";"SARDEGNA - 02";"+EUROPA";6731,00;
"SARDEGNA";"SARDEGNA - 02";"ITALIA EUROPA INSIEME";1943,00;
"SARDEGNA";"SARDEGNA - 02";"CIVICA POPOLARE LORENZIN";1345,00;
"SARDEGNA";"SARDEGNA - 02";"LIBERI E UGUALI";11208,00;
"SARDEGNA";"SARDEGNA - 02";"POTERE AL POPOLO!";3060,00;
"SARDEGNA";"SARDEGNA - 02";"CASAPOUND ITALIA";3426,00;
"SARDEGNA";"SARDEGNA - 02";"IL POPOLO DELLA FAMIGLIA";2341,00;
"SARDEGNA";"SARDEGNA - 02";"PARTITO COMUNISTA";2337,00;
"SARDEGNA";"SARDEGNA - 02";"PARTITO VALORE UMANO";1222,00;
"SARDEGNA";"SARDEGNA - 02";"AUTODETERMINATZIONE";9924,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"LEGA";106982,00;2,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"FORZA ITALIA";38938,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";14660,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"NOI CON L'ITALIA - UDC";2705,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"MOVIMENTO 5 STELLE";108686,00;1,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"PARTITO DEMOCRATICO";81671,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"+EUROPA";14162,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"ITALIA EUROPA INSIEME";3577,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"CIVICA POPOLARE LORENZIN";7473,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"SVP - PATT";134651,00;2,00
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"LIBERI E UGUALI";21805,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"POTERE AL POPOLO!";5704,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"CASAPOUND ITALIA";8060,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"IL POPOLO DELLA FAMIGLIA";4897,00;
"TRENTINO-ALTO ADIGE/SUDTIROL";"TRENTINO-ALTO ADIGE/SUDTIROL - 01";"PARTITO VALORE UMANO";3123,00;
